PostType,UEID,UTID,RTID,RCID,NoC,Year,Date,Time,Author_UneditedID,Author_EnglishID,Author_UsenetID,AnonDegree,CAID,SAID,TAID,UAID,ThreadTitle,Newsgroup,CText,Url,Notes,CP,CPID
Comment,FT005CM01,,FT005,CM01,,1983,1983-04-27,21:58:19,allegra!jdd (John Trendy DeTeville),"DeTeville, John ""Trendy'",allegra!jdd,1,A0015,,,A0015,Bad medical advice,Net.med,"Speaking of great medical advice, here are some unique insights into AIDS from ""Ask Dr. Mueller"" in the East Village Eye: ""If you have AIDS seek help from doctors other than ones connected with the AMA.... after you have an accurate diagnosis and before you take any medication or therapy, try a nutritionist, a homeopath, a kinesthologist and a chiropractor/nutritionist. Go to them all. The first thing a really good chiropractor/nutritionist will do is take hair, urine, blood and nail paring samples to determine what your individual deficiencies and needs are. It's a very personal treatment. They put you on a diet that's correct for you alone...."" Cheers, John (""Trendy"") DeTreville Bell Labs, Murray Hill",https://groups.google.com/g/net.med/c/-EW3w8ech0k/m/VuCk8jChDYUJ,,,
Comment,FT006CM01,,FT006,CM01,,1983,1983-04-29,1:19:01,D. Radin - BTL Columbus,"Radin, D.",,2,A0082,,,A0082,son of medical advice,Net.med,"Some comments on the following medical advice from a newspaper column: ""If you have AIDS seek help from doctors other than ones connected with the AMA.... try a nutritionist, a homeopath, a kinesthologist and a chiropractor/nutritionist. Go to them all."" I agree. For something as serious as AIDS seems to be, I'd try any means of getting better. I'm not sure I'd ignore AMA doctors, but I would try other approaches as well and choose the one that seems the best. The more general question is: If conventional medicine doesn't seem to cure a disease, should alternative techniques be ignored just because they seem odd? I say no. Of course, ""buyer beware"" is more critical for the alternative approaches since control of who gets licensed to do what is relatively loose, but I know there are some homeopaths that are far superior to physicians (as far as results go), and some chiropractors that are far superior to surgeons. D. Radin - BTL Columbus",https://groups.google.com/g/net.med/c/vQBAg3CW56E/m/Fzk8b1xLtKoJ,,,
Comment,FT007CM01,,FT007,CM01,,1983,1983-10-17,13:20:55,Kevin Kinnear,"Kinnear, Kevin",,1,A0246,,,A0246,West Suburban (Chicago) Gay Association Calendar of Eve,Net.motss,"POSTED FOR: box8595 Please post the following for me on net.motss. All events are open to non-members. Oct 22 Pre-Halloween Party (proceeds for our hotline) Mineshaft in Lyons, Il., 9 PM to 3 AM Oct 28 Pot Luck Dinner Nov 5 Monthly Party Nov 11 Youth Group Party (non-alcoholic) Nov 12 MCC/FVGA Party (proceeds for AIDS research) (Metropolitan Community Church / Fox Valley Gay Association) Call our hotline, (312) 790-9742, for more information. Sorry to have to post to everyone but in the future we may need a net.motss.chicago. box8595",https://groups.google.com/g/net.motss/c/2ecKKGOR6dY/m/Su-3GN_6EOAJ,,,
Comment,FT008CM01,,FT008,CM01,,1983,1983-10-19,15:00:17,sfucmpt!guest,,sfucmpt!guest,3,A0384,,,A0384,AIDS,Net.motss,"I agree with Jerry Falwell's solution to AIDS: ""one man, one woman, for one lifetime"". Remember that when you go to bed with your prick in somebody's asshole.",https://groups.google.com/g/net.motss/c/2hezatAfgs0/m/0VvdQX4E0j8J,,,
Comment,FT008CM02,,FT008,CM02,,1983,1983-10-20,12:33:20,Joe Ziegler (ihnp4!hogpc!pegasus!ziegler),"Ziegler, Joe",ihnp4!hogpc!pegasus!ziegler,1,A0210,,,A0210,AIDS,Net.motss,"I wish you had the nerve to put your own name on that article, rather than logging into a public account to do it. I would have prefered to respond to you personally, rather than burden the net with my flaming, particularly since opinions like yours are best left ignored. But I feel I must respond to this one. I presume that, since you mention Jerry Falwell, you choose to align yourself with that group of people who call themselves ""The Moral Majority"" and consider themselves to be ""Born-Again"" Christians. I do not wish to attack Rev. Falwell here, nor make any assaults on his teachings or followers. I flame at the person who submitted the above article, and no other. Please read carefully the teachings of Christ as found in the New Testament of your Bible. I am a Christian, and am appalled at the hateful, abusive, bigoted and self-serving things that some people do in His name. You in particular have demonstrated that you have little or no concept of what Christianity is all about. I will not quote you scriptures or give biblical references, since you've probably heard them all and still not learned. If you do not live your life in accordance with His teachings, if you twist His words to suit your own meanings, if invoke His name to belittle, offend, or mislead others, then your faith is a distorted one at best. I recommend that you check very carefully to see who your true master is. Lucifer is, after all, the angel of light. I have two suggestions: 1) For our sake, please keep your obviously inflamatory statements off the net. We don't need them. I welcome free and open discussion where everyone can speak (type?) his or her own opinion, but cheap shots taken from behind the cover of a public login are counter-productive. 2) For your own sake, learn more of Him whom you claim to follow. You may be surprised. Of course, my opinions are entirely my own and have nothing to do with the opinions or policies of any organization I belong to or company that employs me. Joe Ziegler ...ihnp4!hogpc!pegasus!ziegler",https://groups.google.com/g/net.motss/c/2hezatAfgs0/m/9N-pprMS3PMJ,"Includes name, forgoes anonymity",,
Comment,FT008CM03,,FT008,CM03,,1983,1983-10-21,9:58:42,"Mike Simpson (decvax!bbncca!msimpson), ","Simpson, Mike",decvax!bbncca!msimpso,1,A0300,,,A0300,AIDS,Net.motss,"Bravo to ihnp4!hogpc!pegasus!ziegler, and shame on sfucmpt!guest. I merely wish to point up another fallacy in sfucmpt!guest's argument. His statement is clearly contrary to the stated purposes of this discussion group, since it is a 'sneak-attack' diatribe against homosexuality. And without getting emotional or irrational, I would note that thirty percent of all AIDS victims are heterosexual. So you could be straight and totally faithful and still get AIDS. Please, let us not spread in this discussion group the same ignorances, fears and prejudices that have been told and retold again. -- cheers, Mike Simpson Bolt Beranek and Newman Inc. Ten Moulton Street, Cambridge, MA 02238 (USnail) msimpson@bbn-unix (ARPA) decvax!bbncca!msimpson (Usenet) msimpson.bbn-unix@udel-relay (CSNET) 617-497-2819 (Ma Bell)",https://groups.google.com/g/net.motss/c/2hezatAfgs0/m/Vav7sWo9d_QJ,"Includes name, forgoes anonymity",,
Comment,FT008CM04,,FT008,CM04,,1983,1983-10-24,15:57:39,rene.umcp-cs@CSNet-relay,,rene.umcp-cs@CSNet-relay,3,A0345,,,A0345,AIDS,Net.motss,"If AIDS is God's punishment for homosexuality, why is God also punishing hemophiliacs and Haitians (not to mention drug abusers)? You'd think that hemophiliacs were suffering enough ... -- Arpa: rene.umcp-cs@CSNet-relay Uucp:...{allegra,seismo}!umcp-cs!rene",https://groups.google.com/g/net.motss/c/2hezatAfgs0/m/1_gCS9rPA_sJ,,,
Comment,FT009CM01,,FT009,CM01,,1983,1983-10-21,7:53:05,Tony Speakman,"Speakman, Tony",speakman@mprvaxa,1,A0421,,,A0421,On remarks from guest@sfucmpt,Net.motss,"The author of the remarks from guest@sfucmpt has demon-strated that, the technological conceits of the net notwithstand-ing, a washroom stall can be erected around any forum, allowingthe patrons furtively to spatter their ignorance and hatred uponits walls and slip away undetected, never having been exposedwith their intellectual (if not actual) pants down. This stuffis venom, glandular in origin and requiring periodic venting; wecan expect more of it.It is also instructive. Our anonymous vandal enunciatesthree now classic tenets of the hard-core homophobe :- Sexism. ""One man, one woman"", the order of the subjects isnot incidental.- Equation of promiscuity with the *cause* of disease. Theinsidious shift from the term ""spreads"" to ""causes"" is par-ticularly pertinent in the discussion of AIDS where theequation is extended on the l.h.s. to include homosexualityitself and then, by the transitive property we have ...(left as an exercise; the argument should be familiar bynow).- Fear and loathing of same-sex sex.To my mind this last is the hardest nut to crack. Coming out,however daintily done, is fundamentally and irretrievably a sex-ual declaration. And the imagination of same-sex sex is, formany people, a private chamber of horrors and the source of muchof the vitriol reserved for lesbians and gay men. Before thiswill change, the imagination at large must become educated andsupple enough someday to embrace images and dreams of homosexual-ity and trade in them freely to dispel the squalour in the heartsand minds of folks like guest@sfucmpt.But how can this be accomplished? And by whom? Certainlynot the anonymous guest@sfucmpt. How about the anonymous box9294 or box 8595 or box 1417?Tony Speakman @ MPR, Burnaby, BC, Canada.",https://groups.google.com/g/net.motss/c/lfyraRvz5sU/m/7p6ZWmPPG10J,,,
Comment,FT009CM02,,FT009,CM02,,1983,1983-10-25,2:02:39,Laura Creighton,"Creighton, Laura",,1,A0260,,,A0260,On remarks from guest@sfucmpt,Net.motss,"Well, part of the trouble is terror (I like the private chamber ofhorrors) of same-sex sex, but of sex itself. The old idea that sex isnasty, terrible, sinful and wrong is rather well entrenched even amongpeople who claim to be liberated.There are 2 extremes which you can find in any goup of 5 or more (randomlyselected) people, as far as I know. One is ""sex is so bad and horriblethat we really shouldn't do it"" and the other is ""well, if they say itsso bad, then it must be real good so i want lots and lots of it!"".The strange thing is that these 2 camps, all the while, incite eachother on. The more people who find the thought of sex somewhat deadlyor repellent the more other people will thinkt hat it must be a commoditythat they should get more and more of. And by the time these latter soulshave discovered that ""to hell with relationships, there is nothing in lifebut sex"" then they have pretty well justified the first groups claim abouthow terrible and impersonal promiscuity makes you. And the cycle goes on,and on, and on...Meanwhile the whole society gets sex on the brain. And people like advertisersencourage it. Sex gets mixed up with love, and power, and responsibility, andcounteless other things to the point where i am sure that archeologistsdigging up Western Society 3 millenia from now are going to be convincedthat our whole lives were expressions of sex and sexuality.And still we cannot talk about it!Laura Creightonutzoo!utcsstat!laura",https://groups.google.com/g/net.motss/c/lfyraRvz5sU/m/phTf0ji4RskJ,,,
Comment,FT010CM01,,FT010,CM01,,1983,1983-11-01,21:24:10,Barry Evans (wivax!evans),"Evans, Barry",wivax!evans,1,A0034,,,A0034,advice to gays,Net.motss,"Re: >It is not clear to me that net.motss will be a very positive>source of information for you, judging from what I have seen so far.I guess I kind of have to disagree on this, at least partially. Right nowas it is, net.motss is not helping any closeted gays very much. It doesn'thave to be this way. Probably the hardest part of ""coming out"" is forthe individual to accept themselves. Once this is done, they can acceptadvise from others, reach out and ask those questions which they've keptbottled up for so long. This net (net.motss) can be an ideal place forpeople to do this. Often, people fear talking about being gay to otherssimply because society deems it as being ""wrong"", hence, they aren't*supposed* to be that way. There's nothing like peer pressure to reallyscrew things up. This newsgroup offers a semi-anonymous setting wherepeople can speak out and ask such things - there are even people whowill post for the others who wish more anonymousity [is that a word?].Given some time, people will speak up - maybe some encouragement would helpthem out a bit... And, even if they don't ask, they *will* be listening.-barry--Barry Evans {decvax,linus}!wivax!evansWang Institute (617) 649-9731 x383",https://groups.google.com/g/net.motss/c/VUcPZfyENIY/m/ScwDOop90aEJ,,,
Comment,FT010CM02,,FT010,CM02,,1983,1983-11-03,15:28:47,Martin Schoffstall,"Schoffstall, Martin",,1,A0288,,,A0288,advice to gays,Net.motss,"I would like to know where the figure of %70 came from!I think if you talked to some real Christians (word&deed) ona personal level you would find most of them (if they are married)to have really excellant sex lives. Why? For one they don't haveto worry about syphillis/herpes/AIDS. The second reason is the factthat a principle from the BIBLE teaches us that real love is nottaking but giving, this shows up in their sex life. The last thingis commitment, most Christian marriages have a large commitmentindex, they work over the months/years to have a good sex lifefor the other person.No, we don't just masturbate and feel guilty. We have very excellantsex lives.!decvax!bbncca!schoffschoff@bbnu",https://groups.google.com/g/net.motss/c/VUcPZfyENIY/m/Q6dWoWeLgZoJ,,,
Comment,FT011CM01,,FT011,CM01,,1983,1983-11-27,9:22:34,js...@bbncca.arpa,,js...@bbncca.arpa,3,A0226,,,A0226,AIDS  ,Net.singles,"References: <92...@akpcb.UUCP>Relay-Version:version B 2.10.1 6/24/83; site duke.UUCPPosting-Version:version B 2.10 5/3/83; site bbncca.ARPAPath:duke!decvax!bbncca!jsolMessage-ID:<3...@bbncca.ARPA>Date:Sun, 27-Nov-83 12:22:34 ESTOrganization:Bolt, Beranek and Newman, Cambridge, Ma.You're way behind the time. AIDS has been in the news for at least 6 months!Where have you been?Speaking of AIDS: I've heard conflicting stories about AIDS. Can anyone withRELIABLE information feed it back to the net?Thanks,--[--JSol--]JSol@Usc-Eclc/JSol@Bbncca (Arpa)JSol@Usc-Eclb/JSol@Bnl (Milnet){decvax, wjh12, linus}!bbncca!jsol",https://groups.google.com/g/net.singles/c/3vNDbkz8wm4/m/NiWr3hImRoAJ,,,
Comment,FT011CM02,,FT011,CM02,,1983,1983-11-27,9:22:34,Jon Solomon,"Solomon, Jon",,1,A0224,,,A0224,AIDS  ,Net.singles,"You're way behind the time. AIDS has been in the news for at least 6 months!Where have you been?Speaking of AIDS: I've heard conflicting stories about AIDS. Can anyone withRELIABLE information feed it back to the net?Thanks,--[--JSol--]JSol@Usc-Eclc/JSol@Bbncca (Arpa)JSol@Usc-Eclb/JSol@Bnl (Milnet){decvax, wjh12, linus}!bbncca!jsol",https://groups.google.com/g/net.singles/c/3vNDbkz8wm4/m/_3J_zSjwGeEJ,,,
Comment,FT012CM01,,FT012,CM01,,1984,1984-01-21,23:30:23,Will Doherty,"Doherty, Will",sun!oscar!wild,1,A0434,,,A0434,MORE MISCELLANEOUS,Net.motss,"To: Randwulf (genrad!mit-eddie!rh)I don't consider Playboy to be a resource on the morality ofcrossgenerational sexuality, heterosexual or otherwise.I think that anyone who can figure out how to get to the votingbooth and pull the levers has the right to vote (as long aseach person gets only one vote of course). I think peopleshould be able to get married at the age of 14, or at any age,if they so desire.I worry about children who don't have knowledge of pregnancy andcontraception engaging in sexual activity. In crossgenerationalrelationships (or any heterosexual relationships for that matter),I consider this (contraception) to be the responsibility of themore knowledgeable (generally the older) partner.Perhaps if you had started having sex before you were 18, you wouldhave had more experience sooner and you would have been able tounderstand more of the ""implications"" earlier. Or maybe the""implications"" just would have been different.But anyway, I certainly agree with the right to celibacy mentionedby another contributor, and that includes a right to be free fromharassment for a sexuality which certainly doesn't require too muchconsent from others.As far as most of the rest of your comments go--Well, let's face it, flames fall in one of two categories: reasonedor unreasoned. I consider category 1 worthy of reply. That meanscategory 2 ain't worth the trouble. But when you consider yourselfglad that you're not gay because you ""would feel compelled to hunt downall of the members of NAMBL [sic] for giving people of my persuasiona bad name,"" I think you should consider two things:1) Many of us lesbian and gay folk may be glad to have a person ofyour insight refusing to identify with us.2) Many participants in crossgenerational sexuality are straight (i.e.your sexual orientation).The only reason crossgenerational lovers expect lesbians and gays tobetter understand our oppression is because lesbians and gays havehad to suffer similar oppression by similar segments of our society(don't worry, I won't mention any names).To: Laura Creighton (utzoo!utcsstat!laura)I agree that we should ""drop the age restriction (which isn't gonnawork anyway, people being as they are) and teach kids how not to bemanipulated through force or guilt"" at least to the extent that thatis possible. I also believe in penalties for those who force sexualacts on anyone. That indeed is the ""unacceptable platform.""To: P.Heisler (wjh12!hocsj!pph)wrt: ""You should have also put that in net.jokes.""No.To: ""Lance""I agree that ""a child can be severely crippled emotionally by atraumatic sexual experience with a trusted adult."" Instead, Iwould recommend *healthy* sexual experiences with adults if bothparties so desire.Indeed it is unfortunate that in some cases, even today, resurgentbarbarism in our society sometimes makes people transform theirhealthy opinions of their healthy childhood sexuality into shameat such ""despicable"" activities.No question that incest may hurt children terribly. But with aresponsible parent, and within a responsible society, I see noreason why a bit of healthy sexual expression between mother andchild, father and child, or between siblings, should be any problemwhatsoever.Such expressions are common in a variety of cultures worldwide(refs available upon request).As to your last sentence, that gets filed into the unanswerableabyss of category #2.To: Dave Sherman (decvax!utcsrgv!dave)We want to give any two-year-olds who are capable of making it tothe polls the right to vote. Age should not be a qualification.Day-old babies must have the right to move out of the house.Sometimes their parents have the gall to beat them. As soon as theyare capable of realizing any alternative, they should request theappropriate aid from the appropriate agency (which today does notexist in anything approaching a proper solution to the problem).Now, beating a baby--that is child abuse, but hide the bruises a bitand don't break any bones. Then it's legal. Hell, the teachers cando it without risk of retribution in the public schools.NAMBLA does not intend to lower the age of consent. NAMBLA proposesto *abolish* the age of consent.I barely have time to respond to the first round and Steve Dyer'salready begun the second. When my fingers recover...Will Dohertydecvax!bbncca!wdoherty",https://groups.google.com/g/net.motss/c/kF2FiOC8dBo/m/MqsqQUDu9H8J,,,
Comment,FT012CM02,,FT012,CM02,,1984,1984-01-22,13:31:15,Laura Creighton,"Creighton, Laura",,1,A0260,,,A0260,MORE MISCELLANEOUS,Net.motss,"Okay, gang -- what is wrong with a meritocracy? Answers like ""it can't beperfect"" are out, because the system we have right now isn't perfect. Iam just looking for something that is better than what we have now.Currently, I think we have a mobocracy. Bread and Circuses. If it isnecessary to do something which will hurt the plebs (say increase thetax on gasoline, or limit unemployment benefits, or even reevaluatethe whole structure) then you cannot win the election and be honest.You either lie and say you will not do such things and then do themanyway (see Trudeau for a terrific example of someone who can do thisagain and again and still get elected), or you do not do them and watchthings deteriorate, or you say exactly what you believe needs doing andlose the election (watch Stanfield in contrast with Trudeau).This is lousy. would a meritocracy be any worse?--------2nd proposed solution: give *everybody* the vote who can make ""X"" markson a ballot. In general, the kids will vote as their parents and teacherstell them, 'tis true, but is that any worse than what we have now wherepeople vote as their friends and spouses tell them? if this is so, thenwhat, pray tell chages magically at age foo (18/19/20/21) to make such adifference?--------Laura Creightonutzoo!utcsstat!laura",https://groups.google.com/g/net.motss/c/kF2FiOC8dBo/m/qR7PksHOz0YJ,,,
